TransactionID,AccountID,MerchantID,CategoryID,PaymentMethodID,TransactionDate,Amount,TransactionType,Status,IsFraud
1,564,144,9,2,2025-10-16 03:01:47,71338.47,Credit,Success,0
2,66,15,1,1,2025-07-12 02:37:27,4200.96,Debit,Success,0
3,452,100,8,4,2025-10-27 22:34:26,4837.35,Debit,Success,0
4,319,45,4,2,2025-12-15 13:21:17,4807.46,Debit,Success,0
5,89,103,1,4,2024-12-18 19:16:51,21681.01,Debit,Success,0
6,741,124,5,5,2025-10-05 19:56:55,6414.83,Debit,Success,0
7,779,82,10,3,2024-03-22 07:55:06,45614.33,Debit,Success,0
8,1400,115,1,1,2025-11-17 08:44:59,24560.67,Debit,Success,0
9,1410,93,12,5,2025-01-23 08:59:40,2274.19,Debit,Success,0
10,136,72,8,2,2024-02-02 10:25:17,7331.15,Debit,Success,0
11,1317,119,10,4,2025-05-26 12:56:58,14715.72,Debit,Success,0
12,818,108,11,3,2025-08-21 13:57:37,4776.75,Debit,Success,0
13,328,31,3,4,2024-02-18 03:09:40,1849.77,Debit,Success,0
14,1394,58,6,1,2024-09-14 17:55:00,4153.92,Debit,Success,0
15,930,44,4,1,2024-04-24 09:27:10,4792.17,Debit,Success,0
16,1281,65,7,3,2024-07-01 16:58:06,21120.9,Debit,Success,0
17,1087,56,6,1,2024-06-14 17:49:59,3673.88,Debit,Success,0
18,1162,124,5,1,2024-11-10 07:03:15,3301.08,Debit,Success,0
19,1126,60,6,2,2024-05-08 04:42:30,1737.33,Debit,Success,0
20,1461,49,5,3,2025-07-06 23:44:12,12450.58,Debit,Success,0
21,132,110,12,3,2025-04-07 03:15:14,308.24,Debit,Success,1
22,139,73,8,1,2025-12-25 20:03:14,6919.19,Debit,Success,0
23,1170,13,1,5,2024-08-07 17:08:46,19170.51,Debit,Success,0
24,868,70,8,4,2024-04-09 21:27:22,3896.09,Debit,Success,0
25,695,125,8,1,2024-04-10 01:25:46,2214.65,Debit,Success,0
26,155,16,2,4,2024-10-12 14:15:55,6502.57,Debit,Success,0
27,485,103,1,2,2025-07-07 00:05:59,16553.36,Debit,Success,0
28,544,98,11,4,2024-06-17 12:00:24,6062.36,Debit,Success,0
29,389,30,3,3,2025-11-08 22:31:09,770.45,Debit,Success,0
30,977,148,4,5,2024-11-17 01:03:37,4637.24,Debit,Success,0
31,1383,109,5,2,2024-07-09 02:38:04,12590.25,Debit,Success,0
32,1347,32,3,5,2024-02-10 19:05:26,1760.9,Debit,Success,0
33,269,145,4,3,2024-11-17 07:16:25,2557.51,Debit,Success,1
34,1102,65,7,2,2025-09-28 18:06:04,12894.18,Debit,Success,0
35,898,28,3,5,2024-09-07 11:18:10,2155.09,Debit,Failed,0
36,614,115,1,1,2024-01-09 21:52:35,37587.74,Debit,Success,0
37,1239,26,2,2,2025-07-20 04:17:18,5797.38,Debit,Success,0
38,105,68,7,1,2025-05-15 08:57:58,16039.97,Debit,Success,0
39,905,105,4,5,2024-05-13 20:16:10,3675.5,Debit,Success,0
40,757,100,8,5,2025-12-08 04:34:02,4554.44,Debit,Success,0
41,512,18,2,1,2024-02-10 11:13:43,2958.69,Debit,Success,0
42,363,111,5,4,2024-06-07 07:55:10,1523.76,Debit,Success,0
43,547,113,4,2,2025-11-16 23:51:15,4043.19,Debit,Success,0
44,943,123,11,3,2024-08-15 06:52:58,6451.22,Debit,Success,0
45,143,109,5,3,2024-07-16 12:21:17,11053.47,Debit,Success,0
46,535,82,10,2,2024-12-05 00:07:56,58268.68,Debit,Success,0
47,894,33,3,5,2024-12-19 23:50:20,2955.07,Debit,Success,0
48,1065,26,2,5,2024-02-15 22:27:00,5557.49,Debit,Success,0
49,677,139,8,5,2025-03-17 02:42:58,2717.15,Debit,Success,0
50,825,137,2,3,2024-11-12 21:26:20,4524.42,Debit,Success,0
51,832,49,5,5,2024-06-27 19:36:19,25144.77,Debit,Success,0
52,905,56,6,4,2025-09-13 20:20:29,4118.64,Debit,Success,0
53,1056,28,3,5,2024-06-22 21:05:18,1105.29,Debit,Success,0
54,95,9,1,2,2024-08-18 06:09:01,39365.47,Debit,Success,0
55,1427,90,12,4,2025-10-06 18:12:45,4994.33,Debit,Success,1
56,1426,113,4,5,2024-04-19 13:14:11,2590.47,Debit,Success,0
57,1145,55,6,5,2024-05-16 14:42:33,2040.33,Debit,Success,0
58,1123,144,9,4,2025-05-31 13:53:58,226357.86,Credit,Success,0
59,568,13,1,5,2024-09-22 07:53:40,19641.58,Debit,Success,0
60,1107,146,6,1,2024-08-28 08:21:20,1002.57,Debit,Success,0
61,1112,150,4,4,2024-03-06 13:26:21,2370.98,Debit,Success,0
62,1180,81,10,4,2025-08-21 22:01:54,47959.48,Debit,Success,0
